Syllables	Mnemonic	Keyboard	Pianoroll	TypeAndQuality	KeyboardColoured	PianorollColoured	relative_chord_type_1	relative_chord_syllables_1	relative_chord_keyboard_1	relative_chord_type_2	relative_chord_syllables_2	relative_chord_keyboard_2
NuJiLya		<img src="N-NuJiLya-diminished-root-keyboard-2.png">	<img src="N-NuJiLya-diminished-root-pianoroll-2.png">	diminished root	<img src="N-NuJiLya-diminished-root-keyboard-coloured-2.png">	<img src="N-NuJiLya-diminished-root-pianoroll-coloured-2.png">	first inversion	JeLyoNu	<img src="N-JeLyoNu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	LyoNuJi	<img src="N-LyoNuJi-diminished-second inversion-keyboard-coloured-2.png">
GoPyNu		<img src="N-GoPyNu-major-first inversion-keyboard-2.png">	<img src="N-GoPyNu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="N-GoPyNu-major-first inversion-keyboard-coloured-2.png">	<img src="N-GoPyNu-major-first inversion-pianoroll-coloured-2.png">	root	NuGaPu	<img src="N-NuGaPu-major-root-keyboard-coloured-2.png">	second inversion	PyNuGa	<img src="N-PyNuGa-major-second inversion-keyboard-coloured-2.png">
JePyNu		<img src="N-JePyNu-minor-first inversion-keyboard-2.png">	<img src="N-JePyNu-minor-first inversion-pianoroll-2.png">	minor first inversion	<img src="N-JePyNu-minor-first inversion-keyboard-coloured-2.png">	<img src="N-JePyNu-minor-first inversion-pianoroll-coloured-2.png">	root	NuJiPu	<img src="N-NuJiPu-minor-root-keyboard-coloured-2.png">	second inversion	PyNuJi	<img src="N-PyNuJi-minor-second inversion-keyboard-coloured-2.png">
GoBeNu		<img src="N-GoBeNu-augmented-first inversion-keyboard-2.png">	<img src="N-GoBeNu-augmented-first inversion-pianoroll-2.png">	augmented first inversion	<img src="N-GoBeNu-augmented-first inversion-keyboard-coloured-2.png">	<img src="N-GoBeNu-augmented-first inversion-pianoroll-coloured-2.png">	root	NuGaBi	<img src="N-NuGaBi-augmented-root-keyboard-coloured-2.png">	second inversion	BeNuGa	<img src="N-BeNuGa-augmented-second inversion-keyboard-coloured-2.png">
JeLyoNu		<img src="N-JeLyoNu-diminished-first inversion-keyboard-2.png">	<img src="N-JeLyoNu-diminished-first inversion-pianoroll-2.png">	diminished first inversion	<img src="N-JeLyoNu-diminished-first inversion-keyboard-coloured-2.png">	<img src="N-JeLyoNu-diminished-first inversion-pianoroll-coloured-2.png">	root	NuJiLya	<img src="N-NuJiLya-diminished-root-keyboard-coloured-2.png">	second inversion	LyoNuJi	<img src="N-LyoNuJi-diminished-second inversion-keyboard-coloured-2.png">
PyNuGa		<img src="N-PyNuGa-major-second inversion-keyboard-2.png">	<img src="N-PyNuGa-major-second inversion-pianoroll-2.png">	major second inversion	<img src="N-PyNuGa-major-second inversion-keyboard-coloured-2.png">	<img src="N-PyNuGa-major-second inversion-pianoroll-coloured-2.png">	root	NuGaPu	<img src="N-NuGaPu-major-root-keyboard-coloured-2.png">	first inversion	GoPyNu	<img src="N-GoPyNu-major-first inversion-keyboard-coloured-2.png">
PyNuJi		<img src="N-PyNuJi-minor-second inversion-keyboard-2.png">	<img src="N-PyNuJi-minor-second inversion-pianoroll-2.png">	minor second inversion	<img src="N-PyNuJi-minor-second inversion-keyboard-coloured-2.png">	<img src="N-PyNuJi-minor-second inversion-pianoroll-coloured-2.png">	root	NuJiPu	<img src="N-NuJiPu-minor-root-keyboard-coloured-2.png">	first inversion	JePyNu	<img src="N-JePyNu-minor-first inversion-keyboard-coloured-2.png">
BeNuGa		<img src="N-BeNuGa-augmented-second inversion-keyboard-2.png">	<img src="N-BeNuGa-augmented-second inversion-pianoroll-2.png">	augmented second inversion	<img src="N-BeNuGa-augmented-second inversion-keyboard-coloured-2.png">	<img src="N-BeNuGa-augmented-second inversion-pianoroll-coloured-2.png">	root	NuGaBi	<img src="N-NuGaBi-augmented-root-keyboard-coloured-2.png">	first inversion	GoBeNu	<img src="N-GoBeNu-augmented-first inversion-keyboard-coloured-2.png">
LyoNuJi		<img src="N-LyoNuJi-diminished-second inversion-keyboard-2.png">	<img src="N-LyoNuJi-diminished-second inversion-pianoroll-2.png">	diminished second inversion	<img src="N-LyoNuJi-diminished-second inversion-keyboard-coloured-2.png">	<img src="N-LyoNuJi-diminished-second inversion-pianoroll-coloured-2.png">	root	NuJiLya	<img src="N-NuJiLya-diminished-root-keyboard-coloured-2.png">	first inversion	JeLyoNu	<img src="N-JeLyoNu-diminished-first inversion-keyboard-coloured-2.png">
MuRaBu		<img src="M-MuRaBu-major-root-keyboard-2.png">	<img src="M-MuRaBu-major-root-pianoroll-2.png">	major root	<img src="M-MuRaBu-major-root-keyboard-coloured-2.png">	<img src="M-MuRaBu-major-root-pianoroll-coloured-2.png">	first inversion	RoByMu	<img src="M-RoByMu-major-first inversion-keyboard-coloured-2.png">	second inversion	ByMuRa	<img src="M-ByMuRa-major-second inversion-keyboard-coloured-2.png">
MuGiBu		<img src="M-MuGiBu-minor-root-keyboard-2.png">	<img src="M-MuGiBu-minor-root-pianoroll-2.png">	minor root	<img src="M-MuGiBu-minor-root-keyboard-coloured-2.png">	<img src="M-MuGiBu-minor-root-pianoroll-coloured-2.png">	first inversion	GeByMu	<img src="M-GeByMu-minor-first inversion-keyboard-coloured-2.png">	second inversion	ByMuGi	<img src="M-ByMuGi-minor-second inversion-keyboard-coloured-2.png">
MuRaKi		<img src="M-MuRaKi-augmented-root-keyboard-2.png">	<img src="M-MuRaKi-augmented-root-pianoroll-2.png">	augmented root	<img src="M-MuRaKi-augmented-root-keyboard-coloured-2.png">	<img src="M-MuRaKi-augmented-root-pianoroll-coloured-2.png">	first inversion	RoKeMu	<img src="M-RoKeMu-augmented-first inversion-keyboard-coloured-2.png">	second inversion	KeMuRa	<img src="M-KeMuRa-augmented-second inversion-keyboard-coloured-2.png">
MuGiPya		<img src="M-MuGiPya-diminished-root-keyboard-2.png">	<img src="M-MuGiPya-diminished-root-pianoroll-2.png">	diminished root	<img src="M-MuGiPya-diminished-root-keyboard-coloured-2.png">	<img src="M-MuGiPya-diminished-root-pianoroll-coloured-2.png">	first inversion	GePyoMu	<img src="M-GePyoMu-diminished-first inversion-keyboard-coloured-2.png">	second inversion	PyoMuGi	<img src="M-PyoMuGi-diminished-second inversion-keyboard-coloured-2.png">
RoByMu		<img src="M-RoByMu-major-first inversion-keyboard-2.png">	<img src="M-RoByMu-major-first inversion-pianoroll-2.png">	major first inversion	<img src="M-RoByMu-major-first inversion-keyboard-coloured-2.png">	<img src="M-RoByMu-major-first inversion-pianoroll-coloured-2.png">	root	MuRaBu	<img src="M-MuRaBu-major-root-keyboard-coloured-2.png">	second inversion	ByMuRa	<img src="M-ByMuRa-major-second inversion-keyboard-coloured-2.png">
